timestamp,gsr,ecg,interval
1776458736306,670,-106,0
1776458736307,670,-109,0
1776458736307,670,-86,0
1776458736308,670,-69,0
1776458736308,670,-66,0
1776458736309,670,-54,0
1776458736309,670,-29,0
1776458736310,670,-17,0
1776458736311,670,-29,0
1776458736465,669,-29,0
1776458736466,669,-29,0
1776458736466,670,-29,0
1776458736467,669,-29,0
1776458736468,669,-29,0
1776458736469,670,-29,0
1776458736470,669,-29,0
1776458736471,670,-29,0
1776458736471,670,-29,0
1776458736472,669,-29,0
1776458736472,669,-29,0
1776458736810,669,-54,0
1776458736810,669,-69,0
1776458736811,669,-74,0
1776458736812,669,-76,0
1776458736813,669,-66,0
1776458736814,669,-56,0
1776458736815,669,-113,0
1776458736815,669,-158,0
1776458736816,669,69,0
1776458736817,669,334,0
1776458736817,669,71,0
1776458736818,669,-354,0
1776458736818,669,-289,0
1776458736819,669,-71,0
1776458736820,669,-74,0
1776458736820,669,-104,0
1776458736821,669,-91,0
1776458736821,669,-99,0
1776458736822,669,-94,0
1776458736823,669,-76,0
1776458736823,669,-71,0
1776458736824,669,-66,0
1776458736824,669,-52,0
1776458736825,669,-54,0
1776458736826,669,-61,0
1776458736826,669,-56,0
1776458736827,669,-44,0
1776458736827,669,-29,0
1776458736828,669,-7,0
1776458736829,669,7,0
1776458736829,669,19,0
1776458736830,669,42,0
1776458736831,669,84,0
1776458736832,669,116,0
1776458736832,669,123,0
1776458736833,669,128,0
1776458736833,669,128,0
1776458736834,669,99,0
1776458736835,669,52,0
1776458736835,669,4,0
1776458736836,669,-49,0
1776458736837,669,-106,0
1776458736837,669,-151,0
1776458736838,669,-175,0
1776458736838,669,-188,0
1776458736839,669,-205,0
1776458736839,669,-215,0
1776458736840,669,-208,0
1776458736841,669,-203,0
1776458736842,669,-200,0
1776458736842,669,-200,0
1776458736843,669,-195,0
1776458736843,669,-183,0
1776458736844,669,-170,0
1776458736845,669,-170,0
1776458736845,669,-168,0
1776458736846,669,-153,0
1776458736847,669,-143,0
1776458736847,669,-141,0
1776458736848,669,-141,0
1776458736849,669,-136,0
1776458736849,669,-133,0
1776458736850,669,-131,0
1776458736850,669,-123,0
1776458736851,669,-123,0
1776458736851,669,-131,0
1776458736852,669,-131,0
1776458736853,669,-131,0
1776458736853,669,-128,0
1776458736854,669,-128,0
1776458736854,669,-136,0
1776458736855,669,-146,0
1776458736856,669,-146,0
1776458737439,669,-148,0
1776458737440,669,-161,0
1776458737441,669,-156,0
1776458737441,669,-146,0
1776458737442,669,-143,0
1776458737442,669,-128,0
1776458737443,669,-106,0
1776458737445,669,-96,0
1776458737446,669,-94,0
1776458737447,669,-101,0
1776458737447,669,-126,0
1776458737448,669,-141,0
1776458737448,669,-133,0
1776458737449,669,-131,0
1776458737449,669,-148,0
1776458737450,669,-195,0
1776458737450,669,-247,0
1776458737451,669,-109,0
1776458737451,669,309,0
1776458737452,669,441,0
1776458737452,669,12,0
1776458737452,669,-225,0
1776458737453,669,-69,0
1776458737453,669,-71,0
1776458737454,669,-195,0
1776458737454,669,-193,0
1776458737455,669,-168,0
1776458737455,669,-188,0
1776458737456,669,-180,0
1776458737456,669,-161,0
1776458737457,669,-163,0
1776458737457,669,-156,0
1776458737458,669,-146,0
1776458737458,669,-146,0
1776458737459,669,-136,0
1776458737459,669,-121,0
1776458737460,669,-118,0
1776458737460,669,-113,0
1776458737461,669,-101,0
1776458737462,669,-96,0
1776458737462,669,-81,0
1776458737463,669,-52,0
1776458737465,669,-29,0
1776458737465,669,-12,0
1776458737465,669,7,0
1776458737465,669,0,0
1776458737466,669,-19,0
1776458737467,669,-19,0
1776458737467,669,-32,0
1776458737468,669,-81,0
1776458737468,669,-131,0
1776458737469,669,-156,0
1776458737469,669,-175,0
1776458737470,669,-190,0
1776458737470,669,-193,0
1776458737471,669,-193,0
1776458737472,669,-198,0
1776458737472,669,-198,0
1776458737473,669,-185,0
1776458737473,669,-180,0
1776458737474,669,-180,0
1776458737474,669,-178,0
1776458737475,669,-175,0
1776458737475,669,-170,0
1776458737476,669,-158,0
1776458737476,669,-161,0
1776458737477,669,-158,0
1776458737477,669,-146,0
1776458737478,669,-143,0
1776458737478,669,-138,0
1776458737479,669,-128,0
1776458737480,669,-133,0
1776458737480,669,-133,0
1776458737483,669,-133,0
1776458737485,670,-133,0
1776458737485,670,-133,0
1776458737486,670,-133,0
1776458737487,669,-133,0
1776458737488,670,-133,0
1776458737489,669,-133,0
1776458737489,669,-133,0
1776458737490,670,-133,0
1776458737490,669,-133,0
1776458737980,669,-123,0
1776458737980,669,-126,0
1776458737981,669,-133,0
1776458737981,669,-126,0
1776458737982,669,-118,0
1776458737982,669,-118,0
1776458737983,669,-118,0
1776458737983,669,-118,0
1776458737983,669,-121,0
1776458737984,669,-128,0
1776458737986,669,-138,0
1776458737987,669,-141,0
1776458737988,669,-136,0
1776458737988,669,-131,0
1776458737989,669,-123,0
